alias,revenue,major,count,unique_orders,unique_clients
Янв 2017,36.4,35.61,32.51,41.09,47.03
Фев 2017,35.64,34.98,31.14,39.43,45.39
Март 2017,37.11,33.31,32.43,40.63,47.43
Апр 2017,40.52,37.61,37.19,44.14,51.01
Май 2017,42.02,37.76,39.34,44.14,50.84
Июнь 2017,43.55,38.47,40.37,46.73,53.37
Июль 2017,44.78,39.67,42.74,49.19,55.68
Август 2017,45.5,36.37,45.78,50.69,56.63
Сентябрь 2017,44.27,35.32,44.02,50.51,56.09
Октябрь 2017,42.93,34.07,42.76,49.61,55.54
Ноябрь 2017,47.5,37.91,47.47,53.36,39.0
Декабрь 2017,43.54,38.73,44.45,49.31,32.21
Янв 2018,30.83,27.5,32.24,35.24,38.91
Фев 2018,47.62,41.09,47.05,52.82,57.59
